#METADATA SECTION
#Type = Measurement
#Mobile = false
#Owner = NKUA
#Phenomenon = humidity
#Phenomenon_Unit = %
#Sensor_no = 8

#unique_id longitude latitude status
#Vienna-Hum-0 16.16427 48.26555 true
#Vienna-Hum-1 16.23362 48.23537 true
#Vienna-Hum-2 16.26864 48.27834 true
#Vienna-Hum-3 16.30847 48.27834 true
#Vienna-Hum-4 16.18350 48.27926 true
#Vienna-Hum-5 16.15191 48.18513 true
#Vienna-Hum-6 16.22195 48.17322 true
#Vienna-Hum-7 16.18899 48.20023 true

#unique_id timestamp longitude latitude humidity
Vienna-Hum-0 82100 16.16427 48.26555 64.76
Vienna-Hum-2 82600 16.26864 48.27834 63.93
Vienna-Hum-3 82850 16.30847 48.27834 63.17
Vienna-Hum-4 83100 16.18350 48.27926 63.93
Vienna-Hum-6 84600 16.22195 48.17322 78.81
Vienna-Hum-7 84850 16.18899 48.20023 79.72
Vienna-Hum-0 102100 16.16427 48.26555 66.46
Vienna-Hum-1 102350 16.23362 48.23537 65.28
Vienna-Hum-2 102600 16.26864 48.27834 65.94
Vienna-Hum-3 102850 16.30847 48.27834 64.31
Vienna-Hum-4 103100 16.18350 48.27926 63.92
Vienna-Hum-5 104350 16.15191 48.18513 80.08
Vienna-Hum-6 104600 16.22195 48.17322 80.98
Vienna-Hum-7 104850 16.18899 48.20023 79.82
Vienna-Hum-0 122100 16.16427 48.26555 64.42
Vienna-Hum-1 122350 16.23362 48.23537 63.2
Vienna-Hum-2 122600 16.26864 48.27834 65.25
Vienna-Hum-4 123100 16.18350 48.27926 65.25
Vienna-Hum-5 124350 16.15191 48.18513 59.24
Vienna-Hum-6 124600 16.22195 48.17322 59.97
Vienna-Hum-7 124850 16.18899 48.20023 59.12
Vienna-Hum-0 142100 16.16427 48.26555 54.97
Vienna-Hum-1 142350 16.23362 48.23537 55.23
Vienna-Hum-2 142600 16.26864 48.27834 54.12
Vienna-Hum-5 144350 16.15191 48.18513 59.67
Vienna-Hum-6 144600 16.22195 48.17322 59.85
Vienna-Hum-7 144850 16.18899 48.20023 61.28
Vienna-Hum-0 162100 16.16427 48.26555 55.44
Vienna-Hum-2 162600 16.26864 48.27834 54.76
Vienna-Hum-3 162850 16.30847 48.27834 55.93
Vienna-Hum-4 163100 16.18350 48.27926 56.23
Vienna-Hum-5 164350 16.15191 48.18513 60.3
Vienna-Hum-6 164600 16.22195 48.17322 60.61
Vienna-Hum-7 164850 16.18899 48.20023 61.63
Vienna-Hum-0 182100 16.16427 48.26555 54.04
Vienna-Hum-1 182350 16.23362 48.23537 53.7
Vienna-Hum-2 182600 16.26864 48.27834 55.53
Vienna-Hum-4 183100 16.18350 48.27926 54.46
Vienna-Hum-5 184350 16.15191 48.18513 65.45
Vienna-Hum-6 184600 16.22195 48.17322 64.0
Vienna-Hum-7 184850 16.18899 48.20023 64.73
Vienna-Hum-0 202100 16.16427 48.26555 55.35
Vienna-Hum-1 202350 16.23362 48.23537 56.45
Vienna-Hum-2 202600 16.26864 48.27834 53.24
Vienna-Hum-3 202850 16.30847 48.27834 54.58
Vienna-Hum-4 203100 16.18350 48.27926 56.27
Vienna-Hum-5 204350 16.15191 48.18513 63.29
Vienna-Hum-6 204600 16.22195 48.17322 65.28
Vienna-Hum-7 204850 16.18899 48.20023 64.67
Vienna-Hum-0 222100 16.16427 48.26555 39.79
Vienna-Hum-1 222350 16.23362 48.23537 41.52
Vienna-Hum-2 222600 16.26864 48.27834 39.41
Vienna-Hum-3 222850 16.30847 48.27834 38.85
Vienna-Hum-4 223100 16.18350 48.27926 40.19
Vienna-Hum-5 224350 16.15191 48.18513 50.3
Vienna-Hum-6 224600 16.22195 48.17322 48.73
Vienna-Hum-7 224850 16.18899 48.20023 48.28
Vienna-Hum-1 242350 16.23362 48.23537 39.07
Vienna-Hum-2 242600 16.26864 48.27834 41.15
Vienna-Hum-3 242850 16.30847 48.27834 40.56
Vienna-Hum-4 243100 16.18350 48.27926 42.57
Vienna-Hum-5 244350 16.15191 48.18513 50.34
Vienna-Hum-6 244600 16.22195 48.17322 48.87
Vienna-Hum-7 244850 16.18899 48.20023 49.35
Vienna-Hum-0 262100 16.16427 48.26555 40.17
Vienna-Hum-1 262350 16.23362 48.23537 40.29
Vienna-Hum-2 262600 16.26864 48.27834 40.39
Vienna-Hum-3 262850 16.30847 48.27834 39.23
Vienna-Hum-4 263100 16.18350 48.27926 39.55
Vienna-Hum-6 264600 16.22195 48.17322 49.46
Vienna-Hum-7 264850 16.18899 48.20023 49.71
Vienna-Hum-0 282100 16.16427 48.26555 39.02
Vienna-Hum-1 282350 16.23362 48.23537 37.68
Vienna-Hum-2 282600 16.26864 48.27834 39.31
Vienna-Hum-3 282850 16.30847 48.27834 39.44
Vienna-Hum-4 283100 16.18350 48.27926 41.12
Vienna-Hum-5 284350 16.15191 48.18513 28.79
Vienna-Hum-6 284600 16.22195 48.17322 29.54
Vienna-Hum-7 284850 16.18899 48.20023 29.59
Vienna-Hum-0 302100 16.16427 48.26555 38.66
Vienna-Hum-1 302350 16.23362 48.23537 41.97
Vienna-Hum-2 302600 16.26864 48.27834 40.61
Vienna-Hum-3 302850 16.30847 48.27834 40.9
Vienna-Hum-4 303100 16.18350 48.27926 40.7
Vienna-Hum-5 304350 16.15191 48.18513 31.68
Vienna-Hum-7 304850 16.18899 48.20023 30.33
Vienna-Hum-5 324350 16.15191 48.18513 28.91
Vienna-Hum-6 324600 16.22195 48.17322 30.44
Vienna-Hum-7 324850 16.18899 48.20023 30.47
