#METADATA SECTION
#Type = Observation
#Mobile = 0
#Owner = FLEXIT
#Phenomenon = [fire_alarm_status,CO2_measurement,estimated_building_damage,people_counter]
#Phenomenon_Unit = [boolean,ppm,%,integer]
#Sensor_no = 2

#unique_id longitude latitude status
#Evaggelismos_Hospital-001 23.748096 37.976905 true
#Flexit_Office-001 13.023300 47.793630 true

#unique_id timestamp longitude latitude fire_alarm_status CO2_measurement estimated_building_damage people_counter
Flexit_Office-001 3010000 13.023300 47.793630 0 0.0 0.0 1018
Evaggelismos_Hospital-001 3130000 23.748096 37.976905 0 0.0 0.0 372
Flexit_Office-001 3250000 13.023300 47.793630 0 0.0 0.0 1053
Evaggelismos_Hospital-001 3370000 23.748096 37.976905 0 0.0 0.0 383
Flexit_Office-001 3490000 13.023300 47.793630 0 0.0 0.0 1089
Evaggelismos_Hospital-001 3610000 23.748096 37.976905 0 0.0 0.0 361
Flexit_Office-001 3730000 13.023300 47.793630 0 0.0 0.0 1146
Evaggelismos_Hospital-001 3850000 23.748096 37.976905 0 0.0 0.0 362
Flexit_Office-001 3970000 13.023300 47.793630 0 0.0 0.0 1073
Evaggelismos_Hospital-001 4090000 23.748096 37.976905 0 0.0 0.0 432
Flexit_Office-001 4210000 13.023300 47.793630 0 0.0 0.0 1082
Evaggelismos_Hospital-001 4330000 23.748096 37.976905 0 0.0 0.0 372
Flexit_Office-001 4450000 13.023300 47.793630 0 0.0 0.0 1029
Evaggelismos_Hospital-001 4570000 23.748096 37.976905 0 0.0 0.0 448
Flexit_Office-001 4690000 13.023300 47.793630 0 0.0 0.0 1073
Evaggelismos_Hospital-001 4810000 23.748096 37.976905 0 0.0 0.0 375
Flexit_Office-001 4930000 13.023300 47.793630 0 0.0 0.0 1115
Evaggelismos_Hospital-001 5050000 23.748096 37.976905 0 0.0 0.0 445
Flexit_Office-001 5170000 13.023300 47.793630 0 0.0 0.0 1065
Evaggelismos_Hospital-001 5290000 23.748096 37.976905 0 0.0 0.0 503
Flexit_Office-001 5410000 13.023300 47.793630 0 0.0 0.0 1138
Evaggelismos_Hospital-001 5530000 23.748096 37.976905 0 0.0 0.0 364
Flexit_Office-001 5650000 13.023300 47.793630 0 0.0 0.0 1098
Evaggelismos_Hospital-001 5770000 23.748096 37.976905 0 0.0 0.0 459
Flexit_Office-001 5890000 13.023300 47.793630 0 0.0 0.0 1170
Evaggelismos_Hospital-001 6010000 23.748096 37.976905 0 0.0 0.0 547
Flexit_Office-001 6130000 13.023300 47.793630 0 0.0 0.0 1193
Evaggelismos_Hospital-001 6250000 23.748096 37.976905 0 0.0 0.0 405
Flexit_Office-001 6370000 13.023300 47.793630 0 0.0 0.0 1206
Evaggelismos_Hospital-001 6490000 23.748096 37.976905 0 0.0 0.0 572
Flexit_Office-001 6610000 13.023300 47.793630 0 0.0 0.0 1328
Evaggelismos_Hospital-001 6730000 23.748096 37.976905 0 0.0 0.0 657
Flexit_Office-001 6850000 13.023300 47.793630 0 0.0 0.0 1250
Evaggelismos_Hospital-001 6970000 23.748096 37.976905 0 0.0 0.0 366
Flexit_Office-001 7090000 13.023300 47.793630 0 0.0 0.0 1334
Evaggelismos_Hospital-001 7210000 23.748096 37.976905 0 0.0 0.0 598
Flexit_Office-001 7330000 13.023300 47.793630 0 0.0 0.0 1335
Evaggelismos_Hospital-001 7450000 23.748096 37.976905 0 0.0 0.0 667
Flexit_Office-001 7570000 13.023300 47.793630 0 0.0 0.0 1297
Evaggelismos_Hospital-001 7690000 23.748096 37.976905 0 0.0 0.0 327
Flexit_Office-001 7810000 13.023300 47.793630 0 0.0 0.0 1272
Evaggelismos_Hospital-001 7930000 23.748096 37.976905 0 0.0 0.0 553
Flexit_Office-001 8050000 13.023300 47.793630 0 0.0 0.0 1296
Evaggelismos_Hospital-001 8170000 23.748096 37.976905 0 0.0 0.0 751
Flexit_Office-001 8290000 13.023300 47.793630 0 0.0 0.0 1115
Evaggelismos_Hospital-001 8410000 23.748096 37.976905 0 0.0 0.0 412
Flexit_Office-001 8530000 13.023300 47.793630 0 0.0 0.0 1018
Evaggelismos_Hospital-001 8650000 23.748096 37.976905 0 0.0 0.0 537
Flexit_Office-001 8770000 13.023300 47.793630 0 0.0 0.0 1089
Evaggelismos_Hospital-001 8890000 23.748096 37.976905 0 0.0 0.0 837
Flexit_Office-001 9010000 13.023300 47.793630 0 0.0 0.0 1029
Evaggelismos_Hospital-001 9130000 23.748096 37.976905 0 0.0 0.0 452
Flexit_Office-001 9250000 13.023300 47.793630 0 0.0 0.0 1115
Evaggelismos_Hospital-001 9370000 23.748096 37.976905 0 0.0 0.0 462
Flexit_Office-001 9490000 13.023300 47.793630 0 0.0 0.0 1139
Evaggelismos_Hospital-001 9610000 23.748096 37.976905 0 0.0 0.0 861
Flexit_Office-001 9730000 13.023300 47.793630 0 0.0 0.0 1065
Evaggelismos_Hospital-001 9850000 23.748096 37.976905 0 0.0 0.0 528
Flexit_Office-001 9970000 13.023300 47.793630 0 0.0 0.0 1170
Evaggelismos_Hospital-001 10090000 23.748096 37.976905 0 0.0 0.0 495
Flexit_Office-001 10210000 13.023300 47.793630 0 0.0 0.0 1165
Evaggelismos_Hospital-001 10330000 23.748096 37.976905 0 0.0 0.0 565
Flexit_Office-001 10450000 13.023300 47.793630 0 0.0 0.0 1053
